FPIS,Observed,Expected,OE,RR,date
55131450104,0,0.11,0.0,0.0,2021-06-02
55131450103,0,0.085,0.0,0.0,2021-06-02
55131440200,0,0.066,0.0,0.0,2021-06-02
55113100500,1,0.054,18.56,18.74,2021-06-02
55113100400,2,0.037,54.5,55.65,2021-06-02
55113100300,0,0.077,0.0,0.0,2021-06-02
55111001100,0,0.071,0.0,0.0,2021-06-02
55111001002,0,0.05,0.0,0.0,2021-06-02
55111001001,1,0.11,8.9,8.99,2021-06-02
55111000900,0,0.079,0.0,0.0,2021-06-02
55111000800,0,0.065,0.0,0.0,2021-06-02
55111000700,0,0.05,0.0,0.0,2021-06-02
55111000600,0,0.11,0.0,0.0,2021-06-02
